key,name,val,pair
2;1575,1;30;40,1,43542
2;1571,1;30;40,1,9119
2;1573,1;30;40,1,5108
2;1569,1;30;40,1,1578
2;1570,1;30;40,1,1511
3;1576,1;30;40,2,11491
7;1580,1;30;40;90,3,3317
10;1583,1;30;200,4,5991
11;1607,1;30;200,5,14850
11;1577,1;30;200,5,2344
12;1608,1;30;200,6,24813
12;1572,1;30;200,6,673
13;1586,1;30;40;200,7,1599
14;1581,1;30;200,8,4140
15;1591,1;30;200,9,1273
19;1610,20;5;10;70;90,10,21973
19;1609,20;5;10;70;90,10,2592
19;1574,20;5;10;70;90,10,1182
20;1603,5;9,20,10497
26;1604,9;60;40,30,38191
27;1605,9;60,40,26735
28;1606,9;60;40,50,27270
29;1587,1;30;40,60,6012
30;1593,1;30;40,70,9405
31;1601,1;30;40,80,8747
32;1589,1;30;40,90,2072
36;1602,10;60,100,7034
38;1585,90,200,12403
40;1588,8;40,300,2124
41;1578,8;40,400,10520
42;1579,8;40;70;60;100,500,1414
43;1582,8;40,600,2497
44;1584,8;40,700,4932
45;1590,8;40,800,1686
46;1592,8;40,900,853
50;1594,100,1000,1221
68;1616,50,0,71561
