root,form,frequency,translation
27;28;42,I,1,to run away;to flee
27;28;4A,I,13,to refuse
27;2A;4A,I,264,to come;to bring
27;2A;4A,IV,271,to give
27;2B;31,I,1,to transmit;to be related
27;2B;31,IV,5,to prefer
27;2C;31,I,1,to work for recompense
27;2C;31,X,2,to hire
27;2C;44,II,2,to appoint
27;2E;30,I,127,to take;to seize
27;2E;30,III,9,to call;to account;to punish
27;2E;30,VIII,124,to take
27;2E;31,II,15,to delay;to give respite
27;2E;31,V,3,to delay;to stay behind
27;2E;31,X,6,to delay;to postpone
27;2F;4A,II,5,to discharge;to deliver
27;30;46,I,23,to permit
27;30;46,II,3,to announce;to proclaim
27;30;46,IV,2,to announce
27;30;46,V,2,to announce;to declare
27;30;46,X,12,to ask permission
27;30;4A,IV,15,to harm;to trouble
27;32;31,IV,1,to strengthen
27;32;32,I,1,to incite
27;32;41,I,1,to approach
27;33;31,I,1,to take captive
27;33;33,II,3,to found
27;33;41,IV,1,to anger
27;33;48,I,4,to grieve
27;41;43,I,16,to delude;to turn away
27;41;44,I,3,to set
27;43;44,I,93,to eat;to consume
27;44;2A,I,1,to deprive
27;44;41,II,5,to join;to reconcile
27;44;45,I,3,to suffer
27;44;48,I,1,to spare
27;44;48,IV,1,to swear;to vow
27;44;48,VIII,1,to swear
27;45;31,I,77,to order;to command
27;45;31,VIII,2,to consult
27;45;46,I,20,to feel secure
27;45;46,IV,537,to believe
27;45;46,VIII,1,to be entrusted
27;46;33,IV,5,to perceive
27;46;33,X,1,to ask permission
27;46;4A,I,1,to come (time)
27;48;28,II,1,to repeat
27;48;2F,I,1,to tire
27;48;4A,I,5,to seek shelter
27;48;4A,IV,9,to give shelter
27;4A;2F,II,9,to support;to strengthen
28;27;33,I,40,to be wretched;to be evil
28;27;33,VIII,2,to grieve
28;2A;43,II,1,to cut off
28;2A;44,V,1,to devote
28;2B;2B,I,5,to disperse
28;2C;33,VII,1,to gush;to flow
28;2D;2B,I,1,to search;to scratch
28;2E;33,I,5,to diminish;to deprive
28;2E;44,I,10,to be stingy;to withhold
28;2F;27,I,12,to begin;to originate
28;2F;27,IV,3,to originate
28;2F;39,VIII,1,to innovate
28;2F;44,II,23,to change
28;2F;44,IV,3,to substitute
28;2F;44,V,3,to exchange
28;2F;44,X,3,to replace
28;2F;48,I,11,to become apparent
28;2F;48,IV,15,to reveal;to disclose
28;30;31,II,1,to squander;to waste
28;31;27,I,1,to bring into existence
28;31;27,II,2,to absolve;to clear
28;31;27,IV,2,to heal;to cure
28;31;27,V,5,to disown
28;31;2C,V,1,to display
28;31;2D,I,3,to leave;to cease
28;31;31,I,2,to be good;to be kind
28;31;32,I,5,to come forth;to go out
28;31;32,II,2,to make manifest
28;31;42,I,1,to be dazzled;to be frightened
28;31;43,III,8,to bless
28;31;43,VI,9,to be blessed
28;31;45,IV,1,to determine;to conclude
28;33;31,I,1,to scowl;to frown
28;33;33,I,1,to crumble;to crush
28;33;37,I,16,to extend;to stretch
28;33;44,IV,2,to give up;to destruction
28;33;45,V,1,to smile
28;34;31,II,38,to give glad tidings
28;34;31,III,2,to have relations
28;34;31,IV,1,to receive glad tidings
28;34;31,X,7,to rejoice
28;35;31,I,3,to perceive;to watch
28;35;31,II,1,to be made;to see
28;35;31,IV,29,to see
28;37;27,II,1,to lag behind
28;37;31,I,1,to take lightly
28;37;34,I,5,to seize
28;37;44,I,1,to become futile
28;37;44,IV,4,to make vain;to nullify
28;37;46,I,2,to be concealed
28;39;2B,I,52,to raise;to resurrect;to send
28;39;2B,VII,1,to send forth
28;39;2B;31,I,2,to overturn;to scatter
28;39;2F,I,2,to become distant;to take away
28;39;2F,III,1,to lengthen
28;3A;4A,I,25,to seek;to oppress
28;3A;4A,VII,6,to be appropiate
28;3A;4A,VIII,34,to seek
28;42;4A,I,3,to remain
28;42;4A,IV,1,to spare;to remain
28;43;4A,I,5,to weep
28;43;4A,IV,1,to make weep
28;44;33,IV,1,to despair
28;44;39,I,1,to swallow
28;44;3A,I,40,to reach
28;44;3A,II,6,to convey
28;44;3A,IV,5,to convey
28;44;48,I,20,to test
28;44;48,IV,2,to test
28;44;48,VIII,8,to test;to try
28;46;4A,I,11,to construct;to build
28;47;2A,I,2,to be bewildered;to be dumbfounded
28;47;44,VIII,1,to pray humbly
28;48;27,I,6,to incur;to turn back
